dV,flux,anh_tb,anh_pot
1.737000,0.737400,-0.258668,-0.265948
1.737000,0.747500,-0.275300,-0.283786
1.737000,0.757600,-0.293634,-0.303597
1.737000,0.767700,-0.313865,-0.325660
1.737000,0.777800,-0.336212,-0.350310
1.737000,0.787900,-0.360925,-0.377964
1.737000,0.798000,-0.388290,-0.409150
1.737000,0.808100,-0.418636,-0.444559
1.737000,0.818200,-0.452350,-0.485129
1.737000,0.828300,-0.489889,-0.532173
1.737000,0.838400,-0.531798,-0.587570
1.737000,0.848500,-0.578744,-0.654015
1.737000,0.858600,-0.631544,-0.735271
1.737000,0.868700,-0.691217,-0.836260
1.737000,0.878800,-0.759043,-0.962703
1.737000,0.888900,-0.836637,-1.119927
1.737000,0.899000,-0.926043,-1.310599
1.737000,0.909100,-1.029840,-1.531564
1.737000,0.919200,-1.151278,-1.770752
1.737000,0.929300,-1.294451,-2.005753
1.737000,0.939400,-1.464565,-2.205601
1.737000,0.949500,-1.668484,-2.336023
1.737000,0.959600,-1.916009,-2.366296
1.737000,0.969700,-2.223401,-2.273850
1.737000,0.979800,-2.624495,-2.040711
1.737000,0.989900,-3.216547,-1.623986
1.737000,1.000000,-4.552842,-0.799999
0.579000,0.000100,-0.062311,-0.062311
0.579000,0.010200,-0.062312,-0.062312
0.579000,0.020300,-0.062315,-0.062315
0.579000,0.030400,-0.062319,-0.062319
0.579000,0.040500,-0.062326,-0.062326
0.579000,0.050600,-0.062334,-0.062334
0.579000,0.060700,-0.062344,-0.062345
0.579000,0.070800,-0.062356,-0.062357
0.579000,0.080900,-0.062370,-0.062372
0.579000,0.091000,-0.062387,-0.062388
0.579000,0.101100,-0.062405,-0.062407
0.579000,0.111200,-0.062426,-0.062428
0.579000,0.121300,-0.062449,-0.062451
0.579000,0.131400,-0.062474,-0.062477
0.579000,0.141500,-0.062502,-0.062506
0.579000,0.151600,-0.062532,-0.062537
0.579000,0.161700,-0.062566,-0.062571
0.579000,0.171800,-0.062602,-0.062608
0.579000,0.181900,-0.062642,-0.062649
0.579000,0.192000,-0.062685,-0.062693
0.579000,0.202100,-0.062731,-0.062740
0.579000,0.212200,-0.062781,-0.062791
0.579000,0.222300,-0.062836,-0.062847
0.579000,0.232400,-0.062894,-0.062907
0.579000,0.242500,-0.062958,-0.062972
0.579000,0.252600,-0.063026,-0.063042
0.579000,0.262700,-0.063099,-0.063117
0.579000,0.272800,-0.063178,-0.063198
0.579000,0.282900,-0.063264,-0.063285
0.579000,0.293000,-0.063356,-0.063380
0.579000,0.303100,-0.063455,-0.063481
0.579000,0.313200,-0.063561,-0.063591
0.579000,0.323300,-0.063676,-0.063709
0.579000,0.333400,-0.063800,-0.063837
0.579000,0.343500,-0.063934,-0.063974
0.579000,0.353600,-0.064078,-0.064122
0.579000,0.363700,-0.064233,-0.064283
0.579000,0.373800,-0.064402,-0.064456
0.579000,0.383900,-0.064583,-0.064644
0.579000,0.394000,-0.064780,-0.064846
0.579000,0.404100,-0.064992,-0.065066
0.579000,0.414200,-0.065223,-0.065304
0.579000,0.424300,-0.065472,-0.065563
0.579000,0.434400,-0.065743,-0.065843
0.579000,0.444500,-0.066038,-0.066148
0.579000,0.454600,-0.066358,-0.066480
0.579000,0.464700,-0.066706,-0.066842
0.579000,0.474800,-0.067086,-0.067236
0.579000,0.484900,-0.067500,-0.067667
0.579000,0.495000,-0.067953,-0.068138
0.579000,0.505100,-0.068448,-0.068654
0.579000,0.515200,-0.068991,-0.069221
0.579000,0.525300,-0.069587,-0.069843
0.579000,0.535400,-0.070242,-0.070528
0.579000,0.545500,-0.070963,-0.071283
0.579000,0.555600,-0.071759,-0.072117
0.579000,0.565700,-0.072639,-0.073041
0.579000,0.575800,-0.073615,-0.074066
0.579000,0.585900,-0.074698,-0.075205
0.579000,0.596000,-0.075903,-0.076475
0.579000,0.606100,-0.077248,-0.077894
0.579000,0.616200,-0.078752,-0.079485
0.579000,0.626300,-0.080440,-0.081272
0.579000,0.636400,-0.082340,-0.083287
0.579000,0.646500,-0.084483,-0.085565
0.579000,0.656600,-0.086912,-0.088151
0.579000,0.666700,-0.089672,-0.091097
0.579000,0.676800,-0.092821,-0.094467
0.579000,0.686900,-0.096429,-0.098337
0.579000,0.697000,-0.100581,-0.102804
0.579000,0.707100,-0.105382,-0.107983
0.579000,0.717200,-0.110961,-0.114021
0.579000,0.727300,-0.117479,-0.121101
0.579000,0.737400,-0.125139,-0.129452
0.579000,0.747500,-0.134198,-0.139369
0.579000,0.757600,-0.144986,-0.151228
0.579000,0.767700,-0.157927,-0.165517
0.579000,0.777800,-0.173575,-0.182878
0.579000,0.787900,-0.192659,-0.204155
0.579000,0.798000,-0.216150,-0.230478
0.579000,0.808100,-0.245354,-0.263373
0.579000,0.818200,-0.282044,-0.304924
0.579000,0.828300,-0.328645,-0.358021
0.579000,0.838400,-0.388493,-0.426732
0.579000,0.848500,-0.466175,-0.516873
0.579000,0.858600,-0.567970,-0.636863
0.579000,0.868700,-0.702342,-0.798892
0.579000,0.878800,-0.880398,-1.020169
0.579000,0.888900,-1.116099,-1.323482
0.579000,0.899000,-1.425846,-1.735343
0.579000,0.909100,-1.826918,-2.279140
0.579000,0.919200,-2.334182,-2.961177
0.579000,0.929300,-2.954756,-3.750990
0.579000,0.939400,-3.681075,-4.564237
0.579000,0.949500,-4.484176,-5.262291
0.579000,0.959600,-5.310551,-5.678479
0.579000,0.969700,-6.086690,-5.661840
0.579000,0.979800,-6.734797,-5.103174
0.579000,0.989900,-7.214387,-3.866407
0.579000,1.000000,-7.669289,-0.799999
