seed,flux,f01,f12,Ic,anharmonicity
3,0.050604,19.621939,19.496708,0.598090,-0.125231
3,0.101108,19.545405,19.419260,0.592161,-0.126145
3,0.151612,19.417234,19.289523,0.581791,-0.127711
3,0.202116,19.236360,19.106362,0.567136,-0.129998
3,0.252620,19.001212,18.868101,0.548382,-0.133111
3,0.303124,18.709614,18.572411,0.525809,-0.137203
3,0.353628,18.358651,18.216164,0.499785,-0.142487
3,0.404132,17.944477,17.795217,0.470744,-0.149259
3,0.454636,17.462039,17.304114,0.439195,-0.157925
3,0.505140,16.904707,16.735673,0.405705,-0.169033
3,0.555644,16.263746,16.080434,0.370858,-0.183312
3,0.606148,15.527596,15.325886,0.335203,-0.201710
3,0.656653,14.680830,14.455393,0.299215,-0.225436
3,0.707157,13.702525,13.446499,0.263277,-0.256026
3,0.757661,12.563199,12.267639,0.227707,-0.295560
3,0.808165,11.217158,10.870164,0.192801,-0.346994
3,0.858669,9.577458,9.168227,0.158892,-0.409231
3,0.909173,7.414425,7.032604,0.126361,-0.381821
3,0.959677,4.205063,4.952243,0.095651,0.747180
3,1.010181,5.351424,4.099683,0.067290,-1.251741
3,1.060685,5.773963,5.218446,0.042968,-0.555516
3,1.111189,5.660433,5.635188,0.060661,-0.025245
3,1.161693,6.082349,6.336967,0.074272,0.254618
3,1.212197,6.708275,6.973093,0.084172,0.264818
3,1.262701,7.285359,7.489035,0.090763,0.203676
3,1.313205,7.742634,7.879660,0.094369,0.137026
3,1.363709,8.068295,8.146125,0.095225,0.077830
3,1.414213,8.263056,8.288918,0.093571,0.025862
3,1.464717,8.326807,8.305247,0.089765,-0.021561
3,1.515221,8.254144,8.187511,0.084919,-0.066633
3,1.565725,8.031365,7.922332,0.086503,-0.109033
3,1.616229,7.632431,7.491704,0.089591,-0.140726
3,1.666733,7.013886,6.884721,0.092552,-0.129166
3,1.717237,6.123946,6.148447,0.094783,0.024500
3,1.767741,5.050162,5.485077,0.096017,0.434915
3,1.818245,4.619542,5.072145,0.096148,0.452603
3,1.868749,5.560588,5.123825,0.095151,-0.436763
3,1.919254,6.647492,5.952695,0.093052,-0.694797
3,1.969758,7.382287,6.810984,0.089930,-0.571303
3,2.020262,7.875572,7.402443,0.085890,-0.473129
3,2.070766,8.215108,7.780424,0.081073,-0.434685
3,2.121270,8.440271,7.994838,0.075643,-0.445434
3,2.171774,8.566111,8.053089,0.069790,-0.513022
3,2.222278,8.593135,7.305896,0.063672,-1.287239
3,2.272782,8.497018,1.221289,0.061948,-7.275729
3,2.323286,3.218481,5.027761,0.062557,1.809281
3,2.373790,3.433916,4.163093,0.060487,0.729177
3,2.424294,7.683548,2.579997,0.056260,-5.103551
3,2.474798,7.586835,7.020032,0.050556,-0.566803
3,2.525302,7.307897,6.804526,0.044400,-0.503371
3,2.575806,6.869532,6.440183,0.039915,-0.429349
3,2.626310,6.390437,6.108954,0.044210,-0.281483
3,2.676814,6.116395,5.981867,0.054694,-0.134528
3,2.727318,6.189066,6.125834,0.068005,-0.063233
3,2.777822,6.491583,6.476221,0.082852,-0.015362
3,2.828326,6.869744,6.905697,0.098388,0.035953
3,2.878830,7.251647,7.328581,0.113943,0.076934
3,2.929334,7.613406,7.713371,0.128929,0.099965
3,2.979838,7.946645,8.053582,0.142789,0.106936
3,3.030342,8.247006,8.349732,0.154999,0.102726
3,3.080846,8.511052,8.602983,0.165111,0.091931
3,3.131351,8.735546,8.813544,0.172830,0.077998
3,3.181855,8.917293,8.980550,0.178072,0.063258
3,3.232359,9.053096,9.102271,0.180911,0.049175
3,3.282863,9.139716,9.176297,0.181516,0.036581
3,3.333367,9.173805,9.199625,0.180093,0.025820
3,3.383871,9.151801,9.168573,0.176845,0.016772
3,3.434375,9.069692,9.078447,0.171988,0.008756
3,3.484879,8.922510,8.922703,0.165711,0.000193
3,3.535383,8.703165,8.690937,0.158199,-0.012228
3,3.585887,8.399482,8.363744,0.149616,-0.035738
3,3.636391,7.985507,7.897416,0.140113,-0.088091
3,3.686895,7.389592,7.166770,0.129837,-0.222822
3,3.737399,6.323340,5.721654,0.118951,-0.601687
3,3.787903,3.738666,4.564986,0.107679,0.826320
3,3.838407,6.301442,5.419352,0.096314,-0.882090
3,3.888911,8.603550,7.820270,0.085301,-0.783280
3,3.939415,9.792698,9.300471,0.075336,-0.492226
3,3.989919,10.584400,10.221698,0.097972,-0.362702
3,4.040423,11.176491,10.875549,0.122803,-0.300942
3,4.090927,11.642407,11.373409,0.146288,-0.268997
3,4.141431,12.015100,11.763752,0.167924,-0.251348
3,4.191935,12.311112,12.070241,0.187274,-0.240871
3,4.242439,12.539461,12.305477,0.203970,-0.233985
3,4.292943,12.705519,12.476746,0.217728,-0.228772
3,4.343447,12.812895,12.588728,0.228356,-0.224167
3,4.393952,12.864438,12.644857,0.235762,-0.219581
3,4.444456,12.862781,12.648046,0.239951,-0.214735
3,4.494960,12.810640,12.601048,0.241015,-0.209593
3,4.545464,12.710942,12.506594,0.239109,-0.204348
3,4.595968,12.566808,12.367369,0.234458,-0.199438
3,4.646472,12.381393,12.185852,0.227359,-0.195541
3,4.696976,12.157569,11.964037,0.218169,-0.193532
3,4.747480,11.897454,11.703074,0.207328,-0.194380
3,4.797984,11.601837,11.402845,0.195336,-0.198991
3,4.848488,11.269557,11.061544,0.182726,-0.208013
3,4.898992,10.896940,10.675275,0.169995,-0.221665
3,4.949496,10.477372,10.237703,0.157486,-0.239668
3,5.000000,10.001004,9.739602,0.145340,-0.261402
0,0.000100,18.127875,17.980128,0.475199,-0.147747
0,0.050604,18.104894,17.956869,0.473403,-0.148025
0,0.101108,18.036016,17.887152,0.468458,-0.148864
0,0.151612,17.920891,17.770608,0.460389,-0.150283
0,0.202116,17.758925,17.606612,0.449279,-0.152312
0,0.252620,17.549262,17.394264,0.435235,-0.154998
0,0.303124,17.290765,17.132367,0.418412,-0.158398
0,0.353628,16.981982,16.819394,0.399003,-0.162588
0,0.404132,16.621101,16.453446,0.377246,-0.167655
0,0.454636,16.205904,16.032202,0.353428,-0.173702
0,0.505140,15.733695,15.552858,0.327860,-0.180837
0,0.555644,15.201214,15.012051,0.300903,-0.189164
0,0.606148,14.604527,14.405771,0.272953,-0.198756
0,0.656653,13.938870,13.729271,0.244437,-0.209599
0,0.707157,13.198453,12.976965,0.215809,-0.221489
0,0.757661,12.376167,12.142358,0.187553,-0.233809
0,0.808165,11.463192,11.218099,0.160177,-0.245093
0,0.858669,10.448523,10.196438,0.134215,-0.252085
0,0.909173,9.318845,9.071162,0.110199,-0.247683
0,0.959677,8.061581,7.844872,0.088612,-0.216708
0,1.010181,6.688870,6.555184,0.069846,-0.133686
0,1.060685,5.385576,5.347234,0.054196,-0.038342
0,1.111189,4.901899,4.589299,0.041886,-0.312600
0,1.161693,5.276019,4.765618,0.033075,-0.510401
0,1.212197,5.443809,4.955351,0.027770,-0.488458
0,1.262701,5.485023,4.989238,0.025714,-0.495786
0,1.313205,5.594970,5.154376,0.034395,-0.440594
0,1.363709,5.781461,5.409520,0.042731,-0.371941
0,1.414213,5.988144,5.663736,0.048687,-0.324409
0,1.464717,6.170061,5.870664,0.052380,-0.299397
0,1.515221,6.303066,6.012477,0.053963,-0.290589
0,1.565725,6.376329,6.084020,0.053638,-0.292308
0,1.616229,6.385906,6.085609,0.051666,-0.300297
0,1.666733,6.330936,6.019822,0.048412,-0.311113
0,1.717237,6.210931,5.888970,0.044515,-0.321962
0,1.767741,6.022142,5.689989,0.041449,-0.332153
0,1.818245,5.749415,5.401035,0.039844,-0.348379
0,1.868749,5.344925,4.952394,0.039028,-0.392531
0,1.919254,4.681046,4.257447,0.038910,-0.423600
0,1.969758,3.712036,3.798163,0.039510,0.086127
0,2.020262,3.723149,4.004739,0.040830,0.281590
0,2.070766,4.827119,4.593314,0.042838,-0.233805
0,2.121270,5.783451,5.408326,0.045485,-0.375124
0,2.171774,6.477904,6.122643,0.048783,-0.355262
0,2.222278,6.993698,6.682323,0.053050,-0.311375
0,2.272782,7.383728,7.112658,0.060671,-0.271070
0,2.323286,7.677153,7.439368,0.069460,-0.237785
0,2.373790,7.890986,7.680261,0.077469,-0.210725
0,2.424294,8.035820,7.847186,0.084409,-0.188634
0,2.474798,8.118579,7.948120,0.090072,-0.170459
0,2.525302,8.143930,7.988526,0.094287,-0.155404
0,2.575806,8.115088,7.972206,0.096916,-0.142882
0,2.626310,8.034318,7.901873,0.097852,-0.132445
0,2.676814,7.903319,7.779593,0.097030,-0.123726
0,2.727318,7.723588,7.607195,0.094436,-0.116393
0,2.777822,7.496856,7.386726,0.090109,-0.110130
0,2.828326,7.225725,7.121028,0.084148,-0.104697
0,2.878830,6.914608,6.814444,0.076705,-0.100164
0,2.929334,6.571151,6.473615,0.068005,-0.097536
0,2.979838,6.208108,6.108075,0.058341,-0.100033
0,3.030342,5.845137,5.730062,0.048134,-0.115074
0,3.080846,5.508543,5.352831,0.038084,-0.155711
0,3.131351,5.224998,4.987114,0.029472,-0.237884
0,3.181855,5.005331,4.634694,0.023828,-0.370636
0,3.232359,4.819042,4.262716,0.021163,-0.556326
0,3.282863,4.533352,1.309786,0.020255,-3.223566
0,3.333367,1.514749,2.839521,0.020095,1.324772
0,3.383871,5.479598,2.846601,0.022962,-2.632997
0,3.434375,6.276699,5.243189,0.029753,-1.033510
0,3.484879,6.879874,6.130583,0.036987,-0.749291
0,3.535383,7.362697,6.740891,0.044423,-0.621806
0,3.585887,7.751306,7.204345,0.051864,-0.546960
0,3.636391,8.060882,7.563110,0.059147,-0.497772
0,3.686895,8.301952,7.839202,0.066136,-0.462750
0,3.737399,8.482728,8.047208,0.072722,-0.435519
0,3.787903,8.610380,8.198478,0.078811,-0.411902
0,3.838407,8.691933,8.303005,0.084339,-0.388928
0,3.888911,8.734971,8.370416,0.089254,-0.364556
0,3.939415,8.748112,8.410401,0.093536,-0.337711
0,3.989919,8.741097,8.432664,0.097184,-0.308433
0,4.040423,8.724268,8.446340,0.100216,-0.277929
0,4.090927,8.707339,8.459016,0.102668,-0.248323
0,4.141431,8.697719,8.475647,0.104578,-0.222071
0,4.191935,8.698996,8.497783,0.105987,-0.201213
0,4.242439,8.710271,8.523427,0.106919,-0.186844
0,4.292943,8.726607,8.547557,0.107382,-0.179050
0,4.343447,8.740315,8.563062,0.107354,-0.177253
0,4.393952,8.742422,8.561744,0.106786,-0.180678
0,4.444456,8.723803,8.535086,0.105602,-0.188717
0,4.494960,8.675757,8.474631,0.103704,-0.201126
0,4.545464,8.590057,8.371955,0.100983,-0.218102
0,4.595968,8.458611,8.218286,0.097340,-0.240325
0,4.646472,8.272829,8.003768,0.092697,-0.269061
0,4.696976,8.022659,7.716250,0.087011,-0.306409
0,4.747480,7.695051,7.339167,0.080283,-0.355884
0,4.797984,7.271061,6.847228,0.072566,-0.423833
0,4.848488,6.719098,6.196126,0.063967,-0.522971
0,4.898992,5.974575,5.295830,0.054648,-0.678745
0,4.949496,4.854952,3.996604,0.044831,-0.858348
0,5.000000,2.759284,3.007983,0.034815,0.248700
8249,0.000100,18.271260,18.132563,0.496984,-0.138697
8249,0.050604,18.247406,18.108476,0.495202,-0.138930
8249,0.101108,18.175939,18.036309,0.490116,-0.139631
8249,0.151612,18.056590,17.915782,0.481788,-0.140808
8249,0.202116,17.888905,17.746428,0.470310,-0.142478
8249,0.252620,17.672253,17.527592,0.455820,-0.144661
8249,0.303124,17.405819,17.258435,0.438478,-0.147384
8249,0.353628,17.088610,16.937931,0.418470,-0.150679
8249,0.404132,16.719459,16.564875,0.396027,-0.154584
8249,0.454636,16.297024,16.137882,0.371399,-0.159142
8249,0.505140,15.819799,15.655395,0.344855,-0.164404
8249,0.555644,15.286110,15.115676,0.316709,-0.170434
8249,0.606148,14.694110,14.516796,0.287289,-0.177313
8249,0.656653,14.041749,13.856592,0.256938,-0.185157
8249,0.707157,13.326718,13.132584,0.226043,-0.194135
8249,0.757661,12.546327,12.341813,0.195000,-0.204514
8249,0.808165,11.697311,11.480552,0.164244,-0.216760
8249,0.858669,10.775522,10.543750,0.134258,-0.231772
8249,0.909173,9.775487,9.523936,0.105597,-0.251551
8249,0.959677,8.689865,8.408668,0.078946,-0.281197
8249,1.010181,7.509023,7.173211,0.055199,-0.335812
8249,1.060685,6.221397,5.748465,0.035540,-0.472932
8249,1.111189,4.780235,0.586339,0.021465,-4.193896
8249,1.161693,5.582305,4.299786,0.026857,-1.282519
8249,1.212197,6.470790,5.861297,0.034548,-0.609493
8249,1.262701,7.167317,6.705480,0.043363,-0.461838
8249,1.313205,7.722525,7.343397,0.052460,-0.379128
